Samples,RNA-seq core set of samples,ITPKB,MME,BCL6,MYBL1,DENND3,NEK6,LMO2,LRMP,SH3BP5,IRF4,PIM1,ENTPD1,BLNK,CCND2,ETV6,FUT8,BMF,IL16,PTPN1
648,1,5.171121827,2.134255594,4.978618889,3.696108114,6.98987137,6.82234561,5.573800628,7.22156584,4.43440988,6.203006475,5.376345077,5.979769106,5.019209006,4.882043282,6.118308577,5.765024815,3.744432276,5.846513355,6.399896212
658,1,5.990559285,5.678349313,7.566005566,6.049193774,7.30193968,6.417740451,6.439512152,8.697069091,5.212206124,6.333717919,6.95926249,5.625012985,6.028366104,3.347018944,6.076227521,4.618413181,2.747427077,6.501324891,5.835722642
683,1,4.233211761,2.10155799,5.292060777,3.775314104,6.273123468,4.828710071,2.300708307,5.891757031,5.512047924,7.074047888,5.719202879,6.142872601,6.90822497,4.057103722,6.686125649,6.277501402,4.299902181,7.21167747,6.128809214
684,1,5.386671341,5.773123691,5.464830953,3.977106849,6.932068624,6.282745834,4.129891918,6.946045904,4.558720295,5.619719102,5.562293969,6.246339563,4.88877411,5.021746488,5.641821162,4.885340466,3.903832414,5.859594639,5.176609624
689,1,4.286326911,2.830730787,5.777992088,2.65794667,6.471022217,6.282674429,5.691792858,7.296206682,5.373116004,5.795076738,5.634280332,6.512096834,6.113065793,5.142543513,5.113619917,6.414306599,3.489970259,6.94152752,5.866081023
690,1,5.868920223,2.783515943,5.611862606,2.245763649,6.185294842,5.712277729,5.753470942,7.861784276,5.668342551,6.599156793,5.986729934,5.648554205,6.768032074,4.361280996,4.897009009,5.252787332,2.98894986,7.70148505,7.312839837
695,1,5.358151614,2.908754675,6.197868642,4.509890869,8.045243666,5.851315686,5.017179516,7.763057652,4.890417672,6.336013477,5.186537096,5.804730863,5.975418153,4.574695738,6.163159428,6.031898252,3.230554433,6.044000274,6.726160926
702,1,5.637397385,6.841673136,7.146591173,6.207812772,4.2851342,5.811556071,4.909290902,7.534933814,4.305357433,5.877956579,6.500065312,4.096974718,6.476780361,3.948280036,4.056132401,4.505243868,3.448128645,5.81932593,5.007287414
704,1,4.566640723,2.18872962,4.918512914,3.211479756,5.472133191,6.273109709,3.226926113,6.902174117,5.146871517,6.291027933,5.162542578,5.712725635,6.915819934,6.464159863,5.552916542,7.168329876,3.134005334,7.119674071,6.607648458
705,1,6.53215176,7.792302146,6.570924895,6.889893879,7.47663198,6.120422832,5.980920327,7.601999213,4.43499673,6.987845817,6.820593135,5.015652173,6.053307451,3.76706068,4.487817819,3.279346087,4.015620435,7.849386627,4.869816055
759,1,3.035785755,3.597237006,4.518412664,2.05599382,3.876662596,4.079312192,4.972933076,7.987671421,8.722892607,7.054901878,6.913976053,6.757819582,6.991583998,5.370134847,5.639530756,6.547143675,6.057853731,6.389990729,6.812479685
787,1,4.627035841,4.690327316,6.878765526,2.421736674,6.785612265,6.094064899,6.314878079,6.880425583,6.710910937,6.014829621,5.863952957,5.632331488,6.811520125,5.61654833,5.736146568,6.46679131,4.850932397,7.521519591,6.905584873
793,1,4.316008733,2.522965808,4.684527027,1.901382394,6.041778537,6.236483213,6.94284565,5.945175063,5.025880299,5.175910039,6.169577936,6.348282821,5.349886796,5.587574331,6.087091737,5.732370035,4.656817325,5.86061372,5.960323358
799,1,4.888891144,5.591429641,7.930871471,5.972133849,5.546398352,5.320060807,4.135571144,7.649314038,5.359622282,6.572395148,6.239319629,6.236721661,6.611401575,2.920554896,7.001334914,5.770277643,3.275826091,6.168154595,6.626341089
800,1,5.437880216,0.619595518,4.435311452,2.481458937,6.03545042,5.760428907,4.394994398,5.936767012,5.247924887,5.628350762,5.113613731,5.603862502,5.453607786,5.994068782,5.810793528,5.090934515,3.33561702,7.182041085,5.560551731
813,1,4.616813246,1.141901671,5.055676234,2.28191356,6.222186245,4.432201528,4.14910605,4.725490474,5.680554071,6.474049791,7.005156679,5.68163449,4.562204382,6.76326937,6.106704896,5.651956585,3.536169488,6.150541484,6.184123445
816,1,5.762206464,1.41196277,5.150458413,3.414787006,5.87205311,4.654024123,5.818636749,7.145017385,5.506717038,6.430783772,6.149852109,5.703135587,5.309859422,4.902189949,6.535843581,4.176225515,4.689605344,7.253098966,7.20251746
823,1,6.095105446,2.747371301,4.657122058,3.556487384,5.975091549,5.2338739,3.882011215,8.222234625,5.119641591,7.872030347,7.06993238,6.043684711,7.173817015,5.46645355,6.923585637,6.025907369,5.903281062,8.209244598,6.993154308
829,1,3.826317999,5.406298794,4.724616396,2.074525347,3.669088251,3.757419548,2.501860375,6.631852988,7.079138064,7.997793796,7.578591598,5.419478562,7.117241069,7.271178986,6.128166972,5.673496476,5.957165275,7.134379767,6.385739182
830,1,4.439070216,2.243833245,4.96265917,1.938111356,6.200469849,4.178069009,4.527954139,6.197942068,4.179288275,6.891778845,6.041689805,6.514629742,5.127701429,6.845865749,5.862190463,5.17757042,4.199209838,5.945610535,6.066530305
831,1,5.309374937,4.321910874,5.501238462,2.984724122,6.552742832,6.378147972,6.574114495,7.04996254,5.2810287,4.793015923,5.984282928,5.251579483,4.862141503,4.474966224,5.348160568,4.801138334,3.918869677,6.030508674,5.791438398
832,0,3.577108362,0,4.190944082,0,3.50839539,4.578219837,3.959926327,6.126204911,4.873585951,5.463265433,4.573823317,5.122145257,6.117533148,4.935734164,6.858212971,4.887501163,4.914917599,6.532277415,5.670808944
1008,1,5.692056808,5.400384535,6.209968603,4.855890507,5.599221318,6.37082743,6.379726625,6.401398328,3.815646108,5.683690454,7.283131565,5.724422272,5.786315685,4.519514912,5.246408278,4.564822042,4.042168136,5.904008316,5.196806012
1016,1,5.608262522,5.843346188,6.510000416,5.966600521,6.372470855,5.85955343,5.187415948,7.605902211,4.1878754,4.216365196,5.840294219,4.973624803,6.450630849,4.098525495,5.552974305,3.98690907,3.650561173,6.166675194,4.876904233
2043,1,7.187775208,7.237740072,7.162140578,7.164488362,7.702137492,6.447846301,5.850249041,8.846344002,4.310359494,6.721567616,7.016243526,5.076035217,6.932068624,4.595011715,5.452316047,4.840735711,5.446342324,7.302908558,5.196226626
2044,1,6.75955226,3.456521846,5.133249404,2.849172682,6.990781494,4.556382555,4.500582627,8.586598934,5.854270566,7.342590954,6.364029543,6.18962457,6.524540029,3.80204101,5.349094688,6.464547173,3.393432659,7.297544648,5.983634801
2045,1,6.588663331,6.311565481,7.208880772,6.858027622,7.566821115,6.513345225,2.368796493,7.935087884,3.769920651,3.082978502,3.715087122,3.233969418,6.039127923,4.272895244,4.122839397,5.645305616,2.294295171,4.719054889,4.057878257
2046,1,6.03772712,4.630843798,5.991926434,4.805555692,7.392782227,5.834183594,6.670618144,8.128415289,6.100895262,5.740060662,6.636716899,4.822967684,6.604194001,4.61626914,5.376226052,6.043417544,3.93605599,7.556991492,7.387039545
2047,1,6.027805269,5.840925601,6.511194648,6.404299374,8.436858129,6.434213339,5.782329282,9.002374902,5.614508708,3.341934378,5.949951366,5.228098157,5.580567067,4.205612461,4.972717713,4.132740773,4.992790038,7.05171174,6.145845802
2048,1,5.835795642,4.013090573,5.952903485,2.130351526,6.819605597,6.388528545,6.090692714,9.058319842,4.955030284,3.964891167,5.311007223,5.565286404,5.254194462,4.505308644,5.581662735,5.862460184,4.450821231,6.571468635,5.683023419
2057,1,4.786439568,5.130644947,6.309068592,5.121580358,5.873830653,5.346723,5.783970514,8.375018093,5.816314429,5.697552989,6.356224515,4.783351807,5.047422787,3.255179497,4.427521823,5.620668607,3.245772544,5.647304726,5.930730255
2060,1,6.046218143,4.93368178,6.973077908,2.904471118,7.107976151,5.88249278,6.663467044,9.416698192,5.092722562,7.321836091,6.706804967,5.538908587,6.726160926,3.338383652,3.717146816,5.524931255,5.342666321,6.059989663,5.031575815
2072,1,6.105821273,4.442923163,5.890602683,2.923651351,8.308139615,5.814754923,5.459190797,7.523071157,5.834938985,6.155104346,5.888681065,5.280053384,5.942086027,5.306599158,6.52248588,4.798967291,4.237619677,7.007033414,6.067480024
2074,1,3.751573288,1.6521416,6.393434918,0.982467739,4.246665049,3.838430682,2.540633832,5.508859446,7.254908964,7.153257122,7.419029794,6.146734557,6.746681409,7.885956916,6.604632654,6.722978499,5.067450598,7.10540076,6.894504348
2075,1,7.136917381,5.605962896,6.524500321,6.276431154,8.458815631,7.047134969,7.734709488,7.707034852,5.584268877,4.460922794,5.809171938,5.61891787,5.534030857,4.2378433,6.144820864,4.094400916,4.415364589,7.237386721,5.08057609
2076,1,5.591507183,4.012166338,6.536082721,4.800034286,8.154265956,6.922554567,6.267660463,8.518499019,3.993396464,4.99426132,6.068742894,5.485860697,3.574208129,4.583413703,5.998602848,4.584999099,4.041093233,5.360746334,5.504010448
2078,1,6.664376169,1.881904654,6.040811665,2.114685095,6.334661482,5.023703472,3.515610359,4.014431006,5.33620405,2.988012885,6.113071474,5.541884436,2.592662934,6.542291569,6.065535198,4.529534761,3.726402669,4.751224755,5.298612562
2079,1,5.917263579,1.289039116,6.043258871,4.508653997,7.849465119,5.768408808,6.770664276,8.350512243,5.20586346,6.003807049,6.228758295,6.745737716,6.641441557,5.085545865,4.921749985,4.01762738,3.77166339,6.528760638,5.399669944
2080,1,6.071207626,2.303470216,5.578131735,5.399367732,6.688628884,6.205442192,5.785055577,7.810982033,4.477950867,3.498060306,4.783389697,4.787054416,4.626573325,4.436603297,4.636659286,4.786719054,4.233742025,4.727275738,4.856692135
2081,1,3.84137833,1.000582918,7.47813387,4.456489329,3.739370138,3.761649511,2.89191903,6.62342924,6.665817553,9.164629588,6.229754609,6.973298323,7.865821948,7.200540828,5.299300299,6.273544395,4.67181341,6.321552591,7.011170828
2084,1,4.980843122,3.117703382,7.127567968,4.615304999,6.860454721,6.241919026,5.70259777,7.746762872,5.09187278,5.621465826,7.048526694,5.205741098,6.133119346,4.330249714,4.419162713,5.371201177,2.69352486,5.977061167,5.12988862
2085,1,4.775254565,5.834108783,4.019559546,3.214701412,5.009944899,5.659455272,2.942922472,7.208265745,6.092996225,6.160840316,6.001392642,5.654044169,6.561637834,6.090338488,6.603586237,5.808932543,5.720509217,5.688969908,5.248529549
2087,1,5.307095986,0.863305511,6.887608848,1.327416152,5.532803581,4.052840769,5.901665943,7.41588619,6.079036337,6.807464273,6.019870788,6.706151472,7.741685537,4.297941175,5.501788475,5.205036485,5.977510965,7.463536951,7.230350758
2088,1,5.781450875,1.764442189,6.554312083,3.838270604,6.512607178,5.283512717,3.054288133,8.808149086,5.851744872,10.75513984,6.251537998,6.980912394,7.472077604,2.892809351,4.692863363,5.177056144,3.960811413,7.969877628,5.204238512
2089,1,5.795423408,5.058887526,6.607388005,4.018092393,6.445672304,5.035924036,6.711134259,7.912858015,5.96316733,6.319608615,5.355158297,6.064712007,6.663467332,4.493166083,5.437767281,4.975361525,2.84112524,7.422596897,7.067602035
2091,1,5.911520999,5.194964366,7.327388853,6.2842524,6.416130047,6.508519454,5.008244872,8.550540989,5.692081458,6.429648708,6.342698357,6.184123445,6.604014986,4.118107512,5.707465393,5.151567731,4.694430449,6.908589805,6.236721661
2092,1,6.118783006,5.060698173,6.864121478,5.630339402,4.995315649,4.94841784,4.728464221,8.860614641,5.764338897,6.862459291,7.271101973,3.717329685,7.344008953,3.914816472,4.117439493,4.489553446,3.598993308,6.13503475,5.141245204
2093,1,5.488079036,0.352813689,4.31963449,1.551580779,5.684441471,5.78899836,2.372178741,6.858855333,6.431859229,6.164179243,7.976546668,5.946808743,7.190883636,5.292178672,6.589486192,5.326100763,5.175885156,7.551148885,6.386277434
2095,1,4.447221911,6.271217555,5.064989256,3.05759392,7.314489496,5.365730916,5.327797732,6.107082169,4.911307873,6.693810293,7.814875559,6.06498104,5.615122912,4.914105486,5.041386137,5.32557631,3.231173204,5.145400494,6.192504839
